Profundidad,Nodos,Branching factor
0,2,2.0
1,4,2.0
2,10,2.5
3,24,2.4
4,54,2.25
5,107,1.9814814814814814
6,212,1.9813084112149533
7,446,2.1037735849056602
8,946,2.1210762331838566
9,1948,2.059196617336152
10,3938,2.021560574948665
11,7808,1.9827323514474353
12,15544,1.9907786885245902
13,30821,1.9828229541945446
14,60842,1.974043671522663
15,119000,1.9558857368265343
16,231844,1.9482689075630253
17,447342,1.929495695381377
18,859744,1.9218942106933845
19,1637383,1.9045006420515875
20,3098270,1.8922084814609654
21,5802411,1.8727906218631687
22,10783780,1.8584998546293945
23,19826318,1.8385313869533688
24,36142146,1.822937874798538
