value, valueF, solution, nodesT, nodesF, solution, sec
43, 53, 53, 1717234, 1364321, true, 1066
43, 57, 57, 16819719, 7196758, true, 10438
43, 55, 55, 3521755, 112013, true, 2178
41, 59, 59, 167328787, 30107822, true, 103914
42, 56, 56, 9962312, 7467238, true, 6170
42, 56, 56, 5533317, 221728, true, 3441
42, 52, 52, 2102839, 1795925, true, 1295
30, 52, 52, 100240277, 76573295, true, 61992
34, 50, 50, 8995230, 6539232, true, 5809
34, 46, 46, 472192, 101059, true, 303
45, 59, 59, 26282913, 6527482, true, 16987
43, 57, 57, 62814094, 51283080, true, 39952
35, 45, 45, 163440, 133078, true, 104
38, 46, 46, 1362024, 1122413, true, 853
43, 59, 59, 34761530, 27856632, true, 22163
46, 62, 62, 194310857, 115388641, true, 124057
28, 42, 42, 2922006, 2140157, true, 1803
48, 66, 66, 407120380, 331040254, true, 266359
43, 55, 55, 4888254, 4101285, true, 3199
38, 46, 46, 134579, 55442, true, 86
36, 52, 52, 4300466, 2013902, true, 2696
38, 54, 54, 5220612, 1904796, true, 3254
45, 59, 59, 71151977, 58737706, true, 45357
33, 49, 49, 3308659, 303899, true, 2059
38, 54, 54, 12399086, 3594077, true, 7680
36, 52, 52, 8021625, 562495, true, 4919
40, 58, 58, 32226761, 11500087, true, 20600
41, 53, 53, 11714586, 4286606, true, 7280
36, 52, 52, 1457196, 297438, true, 904
40, 54, 54, 5757803, 1692954, true, 3721
37, 47, 47, 192996, 124709, true, 129
44, 50, 50, 121170, 85518, true, 78
43, 59, 59, 191171790, 139889512, true, 119699
42, 60, 60, 112988503, 43630791, true, 70323
38, 52, 52, 8095015, 3823801, true, 5026
41, 55, 55, 2566934, 1249643, true, 1582
40, 52, 52, 2215725, 1798614, true, 1390
40, 58, 58, 15440130, 2144682, true, 9783
35, 49, 49, 3562751, 1016055, true, 2257
36, 54, 54, 14893543, 1133254, true, 9375
36, 54, 54, 15131343, 3484475, true, 9470
32, 42, 42, 170860, 137222, true, 108
52, 64, 64, 12928679, 4005182, true, 8008
36, 50, 50, 1831962, 1053917, true, 1138
39, 51, 51, 776281, 600845, true, 492
39, 49, 49, 692040, 365191, true, 440
35, 47, 47, 508674, 180570, true, 332
41, 49, 49, 135135, 108255, true, 88
37, 59, 59, 268935694, 152348627, true, 173503
39, 53, 53, 9096374, 5807011, true, 6093
44, 56, 56, 15181948, 4538915, true, 9413
42, 56, 56, 29418198, 24597042, true, 18322
50, 64, 64, 85417273, 10644840, true, 54774
40, 56, 56, 24083383, 10433196, true, 15573
33, 41, 41, 60629, 34923, true, 41
33, 55, 55, 89076243, 13457705, true, 55456
38, 50, 50, 3420377, 2010382, true, 2111
37, 51, 51, 1771008, 939392, true, 1107
37, 57, 57, 90658456, 26112330, true, 56616
48, 66, 66, 439475500, 173513151, true, 282467
33, 45, 45, 568147, 339066, true, 355
43, 57, 57, 26703802, 22461711, true, 17889
40, 56, 56, 175013552, 128126692, true, 113832
33, 51, 51, 25549772, 18176320, true, 16164
35, 47, 47, 846435, 459212, true, 531
45, 61, 61, 277845867, 148622151, true, 174922
32, 50, 50, 31436860, 16758734, true, 20085
35, 51, 51, 5907149, 1601844, true, 3738
39, 53, 53, 28481402, 19888021, true, 17724
34, 52, 52, 24167483, 4273764, true, 14981
32, 44, 44, 235118, 90761, true, 148
42, 56, 56, 80505304, 38584280, true, 49812
37, 49, 49, 776805, 563353, true, 482
48, 56, 56, 1013635, 471685, true, 633
34, 48, 48, 5207971, 1138731, true, 3221
41, 57, 57, 22201629, 2694584, true, 13796
34, 54, 54, 6711186, 2042168, true, 4180
41, 53, 53, 2311565, 1667876, true, 1433
30, 42, 42, 123540, 87764, true, 81
43, 57, 57, 11808127, 1742533, true, 7263
39, 53, 53, 2504343, 2056526, true, 1558
44, 62, 62, 451182087, 145769986, true, 282010
39, 49, 49, 1279109, 996010, true, 798
41, 55, 55, 9910766, 4606870, true, 6166
34, 44, 44, 330972, 169932, true, 208
37, 45, 45, 312871, 185404, true, 208
36, 52, 52, 9490562, 1253287, true, 6100
43, 63, -1, 241520321, 1194682998, false, 900000
38, 54, 54, 30090497, 16849596, true, 21209
36, 50, 50, 2146595, 988876, true, 1494
41, 57, 57, 84259171, 62888761, true, 59527
41, 57, 57, 53581035, 12997560, true, 38556
36, 46, 46, 95767, 13107, true, 73
45, 53, 53, 115283, 43717, true, 98
36, 50, 50, 710618, 86250, true, 555
37, 49, 49, 506606, 273855, true, 367
34, 44, 44, 57269, 21921, true, 45
36, 54, 54, 179364122, 141872838, true, 126173
41, 57, 57, 13883588, 9365468, true, 9632
38, 54, 54, 57609469, 42113054, true, 37743


