value, valueF, solution, nodesT, nodesF, solution, sec
43, 53, 53, 4604655, 3817801, true, 2916
43, 57, 57, 15931473, 7376523, true, 10055
43, 55, 55, 1250925, 62439, true, 793
41, 59, 59, 112588556, 17468618, true, 74574
42, 56, 56, 22924875, 17782268, true, 14788
42, 56, 56, 3413298, 214988, true, 2133
36, 52, 52, 15544978, 12789911, true, 10027
34, 52, 52, 44066949, 34562186, true, 27763
32, 50, 50, 13915662, 9701680, true, 8855
36, 46, 46, 110271, 27941, true, 74
45, 59, 59, 24019155, 4022124, true, 15387
43, 57, 57, 67449182, 55601337, true, 42392
35, 45, 45, 288141, 238629, true, 182
36, 46, 46, 7047989, 5616592, true, 4339
43, 59, 59, 215648971, 163959913, true, 135364
44, 62, 62, 149563895, 81210300, true, 94865
28, 42, 42, 3828403, 2793514, true, 2388
46, 66, 66, 486435257, 393920868, true, 314774
43, 55, 55, 8954699, 7531334, true, 5641
38, 46, 46, 441347, 234425, true, 276
36, 52, 52, 8021508, 3865187, true, 5036
38, 54, 54, 17917439, 5671223, true, 11298
43, 59, 59, 214178088, 171785654, true, 134743
35, 49, 49, 1226550, 126716, true, 767
38, 54, 54, 11539413, 4007782, true, 7197
36, 52, 52, 11655601, 538734, true, 7287
40, 58, 58, 44408890, 11749735, true, 27738
39, 53, 53, 5350993, 2412205, true, 3347
36, 52, 52, 2691575, 516576, true, 1679
40, 54, 54, 7278981, 2956869, true, 4539
35, 47, 47, 738985, 408882, true, 473
42, 50, 50, 362952, 262061, true, 233
43, 59, 59, 111782554, 84459892, true, 71524
44, 60, 60, 42588693, 18534920, true, 26854
40, 52, 52, 1611058, 679247, true, 1022
39, 55, 55, 18146174, 8878274, true, 11321
40, 52, 52, 15124177, 12258152, true, 9656
42, 58, 58, 18533418, 2016110, true, 11683
35, 49, 49, 2938391, 1019000, true, 1834
38, 54, 54, 12260166, 820859, true, 7645
38, 54, 54, 9477908, 3085586, true, 5925
34, 42, 42, 138864, 114706, true, 88
50, 64, 64, 10544073, 3107377, true, 6851
36, 50, 50, 9699688, 4632982, true, 6069
39, 51, 51, 3470694, 2660813, true, 2214
37, 49, 49, 1083499, 641671, true, 678
35, 47, 47, 380347, 157590, true, 243
39, 49, 49, 453608, 355103, true, 290
35, 59, 59, 583913152, 305366702, true, 365171
41, 53, 53, 3424694, 2170191, true, 2188
44, 56, 56, 5977369, 1397118, true, 3752
40, 56, 56, 359850021, 292970384, true, 223696
52, 64, 64, 39736238, 4345549, true, 24701
42, 56, 56, 30760464, 15154300, true, 19534
31, 41, 41, 165758, 101434, true, 105
29, 55, 55, 400879387, 77963210, true, 251175
38, 50, 50, 513792, 300008, true, 320
37, 51, 51, 1317519, 705241, true, 835
39, 57, 57, 93936878, 29486290, true, 59228
48, 66, 66, 891532242, 394035005, true, 561772
31, 45, 45, 1856364, 1142856, true, 1159
43, 57, 57, 31057174, 26236940, true, 19318
42, 56, 56, 16105994, 11811105, true, 10151
33, 51, 51, 18183068, 12047207, true, 11401
33, 47, 47, 3435202, 2009956, true, 2179
43, 61, 61, 607197292, 284318022, true, 375579
30, 50, 50, 50777429, 23845616, true, 31644
31, 51, 51, 24054959, 4846123, true, 15115
41, 53, 53, 5014520, 3828141, true, 3173
32, 52, 52, 32225976, 4330101, true, 20176
32, 44, 44, 461282, 63957, true, 290
40, 56, 56, 122202261, 53240772, true, 77034
37, 49, 49, 1940961, 1426875, true, 1228
48, 56, 56, 379124, 178888, true, 245
32, 48, 48, 7675912, 1377974, true, 4793
41, 57, 57, 33085463, 4544816, true, 20573
34, 54, 54, 7990034, 2877399, true, 5006
43, 53, 53, 2108603, 1513279, true, 1315
30, 42, 42, 142559, 103875, true, 93
43, 57, 57, 7388849, 1541760, true, 4730
41, 53, 53, 2860069, 2356694, true, 1809
44, 62, 62, 312726706, 119917540, true, 196203
33, 49, 49, 15140173, 11333454, true, 9519
43, 55, 55, 17980279, 10578006, true, 11423
32, 44, 44, 458676, 274791, true, 284
37, 45, 45, 388264, 267299, true, 245
36, 52, 52, 4054502, 602770, true, 2519
45, 65, 65, 491429887, 57975768, true, 310448
40, 54, 54, 18545695, 10336645, true, 11522
38, 50, 50, 552356, 232863, true, 351
43, 57, 57, 86694606, 63998151, true, 54619
37, 57, 57, 320828717, 29081242, true, 201830
36, 46, 46, 312710, 31330, true, 197
45, 53, 53, 85123, 43986, true, 58
34, 50, 50, 1080822, 165611, true, 688
35, 49, 49, 1975449, 664685, true, 1232
34, 44, 44, 45138, 21177, true, 31
36, 54, 54, 91613720, 71811076, true, 57367
39, 57, 57, 23505081, 16326419, true, 15053
38, 54, 54, 25729718, 18220261, true, 16124
