value, solution, nodesT, solution, sec
43, 53, 192858, true, 1109
43, 57, 2278625, true, 15717
43, 55, 719431, true, 4461
41, 59, 6239676, true, 47553
42, 56, 1969791, true, 13544
44, 56, 1005456, true, 6509
42, 52, 152268, true, 860
36, 52, 1423209, true, 9772
34, 50, 1217491, true, 8367
34, 46, 73893, true, 415
45, 59, 7823068, true, 59452
45, 57, 1690403, true, 11431
35, 45, 19963, true, 102
38, 46, 32965, true, 166
43, 59, 5339671, true, 40118
44, 62, 9568060, true, 73677
28, 42, 411127, true, 2740
48, 66, 14391052, true, 113195
43, 55, 702506, true, 4403
38, 46, 142817, true, 831
36, 52, 1097661, true, 7448
38, 54, 881233, true, 5839
45, 59, 4569783, true, 33221
33, 49, 985056, true, 6752
34, 54, 2535555, true, 18383
38, 52, 384359, true, 2387
42, 58, 3970377, true, 28736
37, 53, 6074838, true, 47553
42, 52, 122188, true, 689
42, 54, 231469, true, 1361
39, 47, 41043, true, 215
40, 50, 168625, true, 991
45, 59, 10471537, true, 82481
44, 60, 3517629, true, 24674
40, 52, 180111, true, 1042
39, 55, 2214450, true, 15655
38, 52, 412411, true, 2579
42, 58, 3297674, true, 23757
37, 49, 408818, true, 2601
36, 54, 1675133, true, 11899
36, 54, 2951865, true, 21642
32, 42, 12124, true, 59
48, 64, 3495412, true, 23975
34, 50, 601013, true, 3910
39, 51, 223020, true, 1313
39, 49, 337569, true, 2081
39, 47, 16256, true, 79
39, 49, 84070, true, 459
41, 59, 3378085, true, 24539
39, 53, 1714794, true, 11884
46, 56, 427800, true, 2558
40, 56, 4643890, true, 35234
50, 64, 15716453, true, 126390
40, 56, 3564394, true, 26354
29, 41, 56979, true, 321
37, 55, 3083041, true, 22465
38, 50, 107721, true, 603
41, 51, 196722, true, 1142
37, 57, 6227323, true, 48063
48, 66, 14028939, true, 106986
35, 45, 64410, true, 384
45, 57, 2221779, true, 15380
40, 56, 16611563, true, 150560
35, 51, 3351009, true, 25467
35, 47, 40334, true, 209
45, 61, 13206632, true, 104747
34, 50, 1766728, true, 12483
37, 51, 588245, true, 3804
39, 53, 996074, true, 6711
32, 52, 1711686, true, 12219
32, 44, 98446, true, 567
40, 56, 4750810, true, 35500
39, 49, 22339, true, 109
48, 56, 406045, true, 2447
34, 48, 760668, true, 5123
43, 57, 2999818, true, 21516
36, 54, 1163228, true, 7772
41, 53, 630209, true, 3980
30, 42, 33032, true, 175
43, 57, 3072079, true, 21749
41, 53, 190498, true, 1098
42, -1, 20440265, false, 900000
33, 49, 1168067, true, 8230
39, 55, 6920511, true, 52935
32, 44, 90519, true, 523
35, 45, 86579, true, 492
34, 52, 1953955, true, 13952
43, -1, 21907837, false, 900000
38, 54, 2243387, true, 16265
38, 50, 152368, true, 880
45, 57, 3070364, true, 21311
41, 57, 1578488, true, 10401
34, 46, 90654, true, 516
45, 53, 28616, true, 140
38, 50, 493032, true, 3097
37, 49, 113633, true, 628
34, 44, 84052, true, 465
34, 54, 6906746, true, 55039
41, 57, 1493672, true, 9957
40, 54, 1037729, true, 6932
