value, solution, nodesT, solution, sec
43, 53, 192858, true, 449
43, 57, 2278625, true, 6720
43, 55, 719431, true, 1771
41, 59, 6239676, true, 21668
42, 56, 1969791, true, 5736
44, 56, 1005456, true, 2667
42, 52, 152268, true, 314
36, 52, 1423209, true, 4065
34, 50, 1217491, true, 3426
34, 46, 73893, true, 140
45, 59, 7823068, true, 27258
45, 57, 1690403, true, 4776
35, 45, 19963, true, 33
38, 46, 32965, true, 51
43, 59, 5339671, true, 17663
44, 62, 9568060, true, 34228
28, 42, 411127, true, 1057
48, 66, 14391052, true, 54181
43, 55, 702506, true, 1768
38, 46, 142817, true, 302
36, 52, 1097661, true, 3071
38, 54, 881233, true, 2364
45, 59, 4569783, true, 14807
33, 49, 985056, true, 2752
34, 54, 2535555, true, 7894
38, 52, 384359, true, 921
42, 58, 3970377, true, 12602
37, 53, 6074838, true, 21441
42, 52, 122188, true, 250
42, 54, 231469, true, 508
39, 47, 41043, true, 70
40, 50, 168625, true, 369
45, 59, 10471537, true, 38783
44, 60, 3517629, true, 10822
40, 52, 180111, true, 391
39, 55, 2214450, true, 6729
38, 52, 412411, true, 991
42, 58, 3297674, true, 10388
37, 49, 408818, true, 999
36, 54, 1675133, true, 5021
36, 54, 2951865, true, 9350
32, 42, 12124, true, 18
48, 64, 3495412, true, 10586
34, 50, 601013, true, 1539
39, 51, 223020, true, 482
39, 49, 337569, true, 793
39, 47, 16256, true, 24
39, 49, 84070, true, 157
41, 59, 3378085, true, 10806
39, 53, 1714794, true, 5002
46, 56, 427800, true, 986
40, 56, 4643890, true, 15587
50, 64, 15716453, true, 61272
40, 56, 3564394, true, 11519
29, 41, 56979, true, 107
37, 55, 3083041, true, 9724
38, 50, 107721, true, 214
41, 51, 196722, true, 427
37, 57, 6227323, true, 21965
48, 66, 14028939, true, 50730
35, 45, 64410, true, 154
45, 57, 2221779, true, 6564
40, 56, 16611563, true, 79917
35, 51, 3351009, true, 11145
35, 47, 40334, true, 70
45, 61, 13206632, true, 50162
34, 50, 1766728, true, 5241
37, 51, 588245, true, 1511
39, 53, 996074, true, 2712
32, 52, 1711686, true, 5127
32, 44, 98446, true, 200
40, 56, 4750810, true, 15761
39, 49, 22339, true, 34
48, 56, 406045, true, 956
34, 48, 760668, true, 2053
43, 57, 2999818, true, 9233
36, 54, 1163228, true, 3165
41, 53, 630209, true, 1563
30, 42, 33032, true, 57
43, 57, 3072079, true, 9437
41, 53, 190498, true, 403
42, -1, 20576328, false, 900000
33, 49, 1168067, true, 3416
39, 55, 6920511, true, 23969
32, 44, 90519, true, 189
35, 45, 86579, true, 172
34, 52, 1953955, true, 5900
43, -1, 21979256, false, 900000
38, 54, 2243387, true, 6986
38, 50, 152368, true, 317
45, 57, 3070364, true, 9184
41, 57, 1578488, true, 4323
34, 46, 90654, true, 180
45, 53, 28616, true, 46
38, 50, 493032, true, 1208
37, 49, 113633, true, 225
34, 44, 84052, true, 159
34, 54, 6906746, true, 24840
41, 57, 1493672, true, 4128
40, 54, 1037729, true, 2883
