value, valueF, solution, nodesT, nodesF, solution, sec
41, 53, 53, 23421059, 19302430, true, 984
41, 57, 57, 202882460, 85374703, true, 8509
43, 55, 55, 11749617, 679849, true, 498
41, 59, 59, 479872314, 108941428, true, 20043
42, 56, 56, 156396225, 116148855, true, 6588
42, 56, 56, 11111651, 630341, true, 474
36, 52, 52, 34191997, 28371011, true, 1441
30, 52, 52, 367429253, 286447401, true, 15381
32, 50, 50, 56395496, 38311034, true, 2368
32, 46, 46, 1632771, 291911, true, 70
43, 59, 59, 189933071, 32008027, true, 7955
43, 57, 57, 144014067, 120499388, true, 6048
35, 45, 45, 622738, 517549, true, 28
36, 46, 46, 21807960, 17438447, true, 917
41, 59, 59, 1330410059, 1028848167, true, 55637
44, 62, 62, 477298383, 263642008, true, 20123
24, 42, 42, 18077520, 13124513, true, 764
46, 66, 66, 2061415816, 1680366887, true, 87846
43, 55, 55, 36932153, 31314253, true, 1552
36, 46, 46, 1656449, 801482, true, 72
36, 52, 52, 23036719, 11037604, true, 977
34, 54, 54, 73849415, 24946205, true, 3110
41, 59, 59, 761549002, 613727455, true, 31780
33, 49, 49, 10474245, 1021549, true, 441
34, 54, 54, 56333481, 17052773, true, 2368
32, 52, 52, 82834631, 4951886, true, 3509
40, 58, 58, 275598316, 76138888, true, 11578
33, 53, 53, 279415800, 116687438, true, 11715
36, 52, 52, 6448278, 1189001, true, 273
38, 54, 54, 58812950, 18745149, true, 2467
35, 47, 47, 2189119, 1179011, true, 96
38, 50, 50, 2769315, 1916236, true, 119
43, 59, 59, 618281103, 468184387, true, 25881
42, 60, 60, 330422409, 158806023, true, 13864
36, 52, 52, 20973061, 8610299, true, 893
39, 55, 55, 65607898, 32887504, true, 2762
36, 52, 52, 97532758, 78011519, true, 4102
40, 58, 58, 298656574, 31411177, true, 12510
35, 49, 49, 16216543, 5518412, true, 681
36, 54, 54, 66302548, 4542141, true, 2820
36, 54, 54, 64121765, 17988931, true, 2688
30, 42, 42, 1005396, 811671, true, 44
48, 64, 64, 57797588, 19177344, true, 2436
32, 50, 50, 65398235, 32300790, true, 2748
39, 51, 51, 12422123, 9825278, true, 523
35, 49, 49, 21373899, 11938024, true, 896
35, 47, 47, 1474121, 542877, true, 65
39, 49, 49, 1902572, 1433099, true, 82
33, 59, 59, -1537512011, 1367139969, true, 115936
39, 53, 53, 28813488, 17980025, true, 1229
44, 56, 56, 37734604, 12682495, true, 1586
38, 56, 56, 814432403, 666053821, true, 34162
50, 64, 64, 484413905, 60038314, true, 20316
40, 56, 56, 145957719, 64789206, true, 6112
29, 41, 41, 568504, 339097, true, 25
29, 55, 55, 1253365370, 230057629, true, 52488
36, 50, 50, 6999066, 4298350, true, 296
37, 51, 51, 6956238, 3846517, true, 294
35, 57, 57, 1471762032, 376769457, true, 61962
48, 66, 66, -724907063, 1524958654, true, 148964
31, 45, 45, 8098683, 5033392, true, 340
43, 57, 57, 76478121, 65022631, true, 3214
40, 56, 56, 1439134325, 1028730766, true, 60114
31, 51, 51, 216736625, 149386703, true, 9056
31, 47, 47, 17651070, 9909382, true, 739
41, 61, 61, 2034452980, 942632398, true, 86069
28, 50, 50, 243014143, 121072643, true, 10344
31, 51, 51, 67371766, 12438901, true, 2834
37, 53, 53, 146501630, 103180408, true, 6169
30, 52, 52, 135657457, 19206837, true, 5709
30, 44, 44, 4810699, 1218464, true, 204
38, 56, 56, 1815899617, 816671089, true, 76962
37, 49, 49, 3337329, 2548440, true, 151
46, 56, 56, 1932758, 874332, true, 86
30, 48, 48, 48599910, 7133158, true, 2068
41, 57, 57, 93680670, 10122431, true, 3967
34, 54, 54, 23590324, 8600715, true, 996
41, 53, 53, 10032321, 7151409, true, 422
28, 42, 42, 835355, 618784, true, 36
43, 57, 57, 29804758, 6403916, true, 1250
39, 53, 53, 20603956, 16514634, true, 870
40, 62, 62, 581637795, 1496709463, true, 205049
31, 49, 49, 75077882, 56347608, true, 3138
37, 55, 55, 233472094, 131775571, true, 9769
32, 44, 44, 1652915, 958807, true, 71
35, 45, 45, 2947182, 1842392, true, 125
34, 52, 52, 64259494, 12887148, true, 2693
43, 65, 65, -1869296529, 614219037, true, 281832
38, 54, 54, 102390360, 56617481, true, 4305
36, 50, 50, 9262951, 4027934, true, 390
41, 57, 57, 777226183, 575450557, true, 32542
37, 57, 57, 1084100844, 137225277, true, 45404
34, 46, 46, 1670843, 201481, true, 73
45, 53, 53, 236694, 99970, true, 10
34, 50, 50, 4750848, 879764, true, 200
35, 49, 49, 12875878, 2872652, true, 540
32, 44, 44, 1599400, 748696, true, 69
34, 54, 54, 559321685, 443831248, true, 23472
39, 57, 57, 117870628, 81994462, true, 4946
38, 54, 54, 130189216, 95006651, true, 5446
